DATA,TIP TIPSTER,ora,COTA,CINE,CAMP,GAZDE,G_LOC_TOTAL,G_ZI_TOTAL,G_U1_TOTAL,G_U2_TOTAL,G_U3_TOTAL,G_U4_TOTAL,G_U5_TOTAL,OASPETI,O_LOC_TOTAL,O_ZI_TOTAL,O_U1_TOTAL,O_U2_TOTAL,O_U3_TOTAL,O_U4_TOTAL,O_U5_TOTAL,1COTA,XCOTA,2COTA,SCOR,PAUZA,G_LOC_ACASA,G_ZI_ACASA,G_U1_ACASA,G_U2_ACASA,G_U3_ACASA,G_U4_ACASA,G_U5_ACASA,O_LOC_DEPL,O_ZI_DEPL,O_U1_DEPL,O_U2_DEPL,O_U3_DEPL,O_U4_DEPL,O_U5_DEPL
1/31/2021,,,2,EDI SADRIA,POR2,PORTO B,17,I,E,I,I,E,I,VARZIM,9.0,V,E,I,V,E,I,2.25,3.3,3.0,0.-1,0.-1,15,I,E,I,I,I,I,17.0,V,E,V,I,I,I
1/31/2021,,,X,ELIA YAZANDA,HU1,DYOSGYORI,12,E,I,V,I,I,I,BUDAFOKI MTE,11.0,E,I,E,I,I,I,1.95,3.45,3.6,1.-1,1.-0,10,E,I,I,V,V,I,8.0,E,I,I,E,I,V
1/31/2021,,,1,FRANCESCO GALO,SP2,MIRANDES,12,V,V,I,I,I,V,LAS PALMAS,9.0,I,V,V,V,I,E,2.15,2.95,3.6,2.-0,1.-0,16,V,I,I,E,E,V,17.0,I,V,I,E,E,I
1/31/2021,,,X,IGOR MATVEEV,IS1,HAPOEL TEL AVIV,14,E,V,E,I,E,I,HAPOEL IRONI AKO,7.0,E,V,I,I,V,I,2.6,2.75,3.0,1.-1,0.-0,13,E,E,E,I,I,E,4.0,E,V,V,I,I,I
1/31/2021,,,X,JAMES STUART,SP1,GETAFE,14,E,I,V,V,I,I,ALAVES,18.0,E,I,I,I,I,E,2.15,3.1,4.0,0.-0,0.-0,12,E,V,I,E,I,E,15.0,E,I,E,I,I,V
1/31/2021,,,X,LIONELE DAVIDE,HU1,ZALAERGEZ,8,E,E,I,V,V,I,PACSI,6.0,E,V,I,I,I,V,2.4,3.25,2.8,4.-4,1.-2,9,E,V,V,I,I,I,10.0,E,I,I,E,I,V
1/31/2021,,,X,MAIK HOPE,SP1,GETAFE,14,E,I,V,V,I,I,ALAVES,18.0,E,I,I,I,I,E,2.15,3.1,4.0,0.-0,0.-0,12,E,V,I,E,I,E,15.0,E,I,E,I,I,V
1/31/2021,,,2,MAX STEFENS,SP2,ESPANOL,2,I,I,V,I,V,V,RAYO VALECANO,4.0,V,I,V,V,V,E,1.95,3.25,3.85,2.-3,2.-0,1,I,V,V,V,V,I,11.0,V,V,E,I,V,E
1/31/2021,,,X,MIKAEL KESLER,ELV1,BASEL,2,E,V,I,V,E,I,LUGANO,4.0,E,V,I,E,E,E,2.4,3.25,3.05,2.-2,0.-1,2,E,I,E,I,V,V,5.0,E,V,E,E,E,E
1/31/2021,,,2,RYAN GRAY,GE3,1860 MUNCHEN,3,I,V,E,V,V,E,ZWIHAU,11.0,V,V,V,E,I,V,1.87,3.5,4.3,0.-1,0.-0,4,I,E,V,E,V,E,7.0,V,V,E,V,E,I
1/31/2021,,,2,STEVE MASOL,GE2,BOCHUM,2,I,V,E,V,V,V,KARLSRUHER,6.0,V,V,E,V,V,V,2.08,3.6,3.4,1.-2,0.-1,4,I,V,V,V,V,V,4.0,V,V,V,I,V,V
1/31/2021,,,X,TOBIAS MOLNER,IT1,CAGLIARI,18,E,I,I,I,I,I,SASUOLO,9.0,E,I,E,I,V,I,3.1,3.55,2.3,1.-1,0.-0,17,E,I,I,I,E,I,7.0,E,I,I,I,V,E
1/31/2021,,,1,TOBY SARP,GE1,KOLN,15,V,I,V,E,I,I,ARMINIA BIEFELD,16.0,I,I,V,E,V,I,2.25,3.15,3.6,3.-1,2.-0,18,V,E,I,I,E,I,16.0,I,E,V,I,I,I
1/31/2021,,,X,TOMAS ZIGLER,SP2,TENERIFE,16,E,I,V,V,V,I,FULHAMBRA,14.0,E,E,I,E,V,I,2.25,2.85,3.45,1.-1,0.-1,10,E,V,V,E,I,I,7.0,E,I,V,I,V,E
1/31/2021,,,2,VLADKO VIDATOVICI,SP2,ESPANOL,2,I,I,V,I,V,V,RAYO VALECANO,4.0,V,I,V,V,V,E,1.95,3.25,3.85,2.-3,2.-0,1,I,V,V,V,V,I,11.0,V,V,E,I,V,E
17/2/2021,,,2,EDI SADRIA,AFS,KAISER CHEF,9,I,I,E,E,V,V,AMAZULU,7.0,V,E,V,V,V,E,2.4,2.8,3.25,1.-2,0.-1,11,I,E,V,I,E,E,11.0,V,E,V,E,E,E
17/2/2021,,,X,NORMAN MERCURE,POR1,GUIMARAES,6,E,I,E,E,V,V,FARENSE,15.0,E,V,I,E,I,I,1.98,3.25,4.2,2.-2,2.-1,12,E,I,V,V,I,V,17.0,E,V,I,I,I,I
17/2/2021,,,1,RYAN GRAY,BE1,OESTENDE,7,V,V,I,E,V,I,GENK,3.0,I,I,E,V,I,E,2.4,3.6,2.8,3.-1,2.-1,4,V,V,E,V,E,V,7.0,I,E,I,I,I,V
17/2/2021,,,1,TOBIAS MOLNER,SE1,NOVI PAZAR,14,V,I,I,E,V,I,RADNICHI NIS,8.0,I,I,E,V,V,V,3.4,3.2,2.1,3.-1,1.-1,11,V,I,V,E,I,V,11.0,I,E,V,V,I,I
18/2/2021,,,1,ARIOSTO CREMONESI,RO2,ASU POLI TIM,4,V,I,E,V,E,E,GLORIA BUZAU,8.0,I,E,E,V,E,V,1.95,3.25,3.85,2.-0,0.-0,2,V,I,V,E,E,V,8.0,I,E,E,V,V,I
18/2/2021,,,X,FEJES VICTOR,URG,FENIX,13,E,E,E,I,V,E,DANUBIO,16.0,E,I,I,I,V,I,2.3,3.3,2.9,1.-1,0.-0,12,E,E,I,E,E,,14.0,E,I,V,I,,
18/2/2021,,,1,FINLAY BOWEN,IS1,HAPOEL IRONISIMONA,7,V,I,E,V,I,V,ASHDOD,3.0,I,E,V,V,I,V,3.05,2.95,2.4,2.-1,0.-0,11,V,I,I,V,I,I,7.0,I,V,I,I,V,E
18/2/2021,,,X,GIOVANI TONAER,URG,FENIX,13,E,E,E,I,V,E,DANUBIO,16.0,E,I,I,I,V,I,2.3,3.3,2.9,1.-1,0.-0,12,E,E,I,E,E,,14.0,E,I,V,I,,
18/2/2021,,,X,HERMAN MARCEL,URG,FENIX,13,E,E,E,I,V,E,DANUBIO,16.0,E,I,I,I,V,I,2.3,3.3,2.9,1.-1,0.-0,12,E,E,I,E,E,,14.0,E,I,V,I,,
18/2/2021,,,2,LIONELE DAVIDE,IT3B,FERALPISALO,7,I,V,I,V,V,V,MODENA,4.0,V,V,E,E,I,V,2.5,2.85,3.0,0.-1,0.-0,6,I,V,I,E,I,V,5.0,V,E,I,V,V,V
18/2/2021,,,2,LUCAS MORIZ,IT3B,FERALPISALO,7,I,V,I,V,V,V,MODENA,4.0,V,V,E,E,I,V,2.5,2.85,3.0,0.-1,0.-0,6,I,V,I,E,I,V,5.0,V,E,I,V,V,V
18/2/2021,,,2,MAIK HOPE,IT3B,FERALPISALO,7,I,V,I,V,V,V,MODENA,4.0,V,V,E,E,I,V,2.5,2.85,3.0,0.-1,0.-0,6,I,V,I,E,I,V,5.0,V,E,I,V,V,V
18/2/2021,,,1,NORMAN MERCURE,AS,AL FAYSALI,13,V,I,V,E,E,E,DAMAC,15.0,I,V,E,I,I,V,1.75,3.65,4.25,2.-0,2.-0,14,V,I,E,E,E,I,16.0,I,I,I,I,E,I
18/2/2021,,,1,RYAN GRAY,AS,AL FAYSALI,13,V,I,V,E,E,E,DAMAC,15.0,I,V,E,I,I,V,1.75,3.65,4.25,2.-0,2.-0,14,V,I,E,E,E,I,16.0,I,I,I,I,E,I
18/2/2021,,,1,TOBY SARP,IS1,HAPOEL IRONISIMONA,7,V,I,E,V,I,V,ASHDOD,3.0,I,E,V,V,I,V,3.05,2.95,2.4,2.-1,0.-0,11,V,I,I,V,I,I,7.0,I,V,I,I,V,E
19/2/2021,,,2,ADALGISO RUSO,ALG,CONSTANTINE,13,I,V,V,I,I,E,ORAN,5.0,V,V,I,V,I,V,2.35,2.65,3.6,1.-3,0.-2,13,I,V,I,I,V,E,14.0,V,I,I,E,E,E
19/2/2021,,,X,ADAM KRIZ,ELV2,WIL,7,E,V,E,V,V,V,GRASHOPER,1.0,E,V,V,V,E,V,3.35,3.6,1.98,1.-1,0.-0,5,E,V,V,V,I,V,2.0,E,V,V,I,I,E
19/2/2021,,,1,ARIOSTO CREMONESI,IT1,FIORENTINA,16,V,I,I,E,V,I,SPEZIA,13.0,I,V,V,I,I,E,2.0,3.35,4.15,3.-0,0.-0,10,V,I,V,V,E,E,8.0,I,V,I,E,V,I
19/2/2021,,,X,BRUNO PELETIER,ELV2,STADE LAUSANE,4,E,I,V,E,I,I,AARAU,6.0,E,I,E,I,I,V,2.35,3.2,2.9,1.-1,1.-0,4,E,V,I,V,V,E,4.0,E,I,E,I,V,V
19/2/2021,,,X,CAYDEN MILER,HU1,MTK BUDAPESTA,4,E,V,I,V,I,E,MEZOCONVED,7.0,E,E,V,E,V,E,2.2,3.15,3.2,0.-0,0.-0,8,E,I,I,V,V,V,11.0,E,E,E,V,I,I
19/2/2021,,,2,CRISTIAN PAROT,TC2,ADANA,4,I,E,V,V,I,V,ALTAY,8.0,V,I,V,I,I,I,2.4,3.25,2.8,1.-2,0.-2,4,I,V,I,V,V,E,7.0,V,V,I,I,V,V
19/2/2021,,,X,DIRK PETERS,CH1,JABLONEC,3,E,I,I,V,V,V,MLADA BOLESLAV,16.0,E,E,E,I,E,I,1.8,3.75,4.3,1.-1,1.-1,2,E,V,V,V,V,I,17.0,E,I,I,E,I,I
19/2/2021,,,1,DOMINIK RITER,BAH,AL AHLI,8,V,I,V,I,E,I,BUSAITEN,9.0,I,E,I,E,E,I,2.8,3.55,2.25,1.-0,1.-0,10,V,I,V,I,E,,8.0,I,E,E,I,I,I
19/2/2021,,,1,EDI SADRIA,POR1,BOAVISTA,17,V,E,I,I,V,I,MOREIRENSE,7.0,I,E,V,V,I,E,2.3,3.0,3.5,1.-0,0.-0,18,V,I,I,I,E,I,8.0,I,V,V,V,I,E
19/2/2021,,,X,ELIA YAZANDA,FR3,LE MANS,5,E,I,V,I,V,V,BASTIA BORGO,13.0,E,V,E,I,V,I,1.7,3.4,5.05,1.-1,1.-0,11,E,V,V,E,E,E,16.0,E,I,I,I,E,V
19/2/2021,,,X,FEJES VICTOR,HU1,MTK BUDAPESTA,4,E,V,I,V,I,E,MEZOCONVED,7.0,E,E,V,E,V,E,2.2,3.15,3.2,0.-0,0.-0,8,E,I,I,V,V,V,11.0,E,E,E,V,I,I
19/2/2021,,,1,FINLAY BOWEN,URG,PLAZA COLONIA,10,V,E,V,I,V,E,BOSTON RIVER,8.0,I,I,I,I,E,V,2.3,3.0,3.2,3.-0,1.-0,3,V,V,V,I,E,,12.0,I,I,E,V,,
19/2/2021,,,2,FRANCESCO GALO,ALG,CONSTANTINE,13,I,V,V,I,I,E,ORAN,5.0,V,V,I,V,I,V,2.35,2.65,3.6,1.-3,0.-2,13,I,V,I,I,V,E,14.0,V,I,I,E,E,E
19/2/2021,,,1,FREDRICH KNUDSEN,SP1,REAL BETIS,7,V,V,I,V,E,V,GETAFE,14.0,I,I,I,I,E,I,2.12,3.05,4.15,1.-0,0.-0,11,V,I,V,V,E,V,18.0,I,I,I,I,V,I
19/2/2021,,,1,GIOVANI TONAER,AZB,SABAIL,7,V,I,I,I,I,V,SABAH,6.0,I,E,I,V,I,E,3.0,3.0,2.4,2.-0,1.-0,6,V,I,I,E,V,E,5.0,I,E,V,E,I,I
